x, y, z, time
0, 0, 1, 0
0.000131381, 8.43018e-05, 1.00007, 0.1
0.00193306, 0.00122907, 1.00026, 0.2
0.00793955, 0.00491711, 1.0005, 0.3
0.0200006, 0.0119596, 1.00076, 0.4
0.0392103, 0.022487, 1.00101, 0.5
0.066014, 0.0360747, 1.00125, 0.6
0.100315, 0.0518734, 1.00146, 0.7
0.141576, 0.0687386, 1.00165, 0.8
0.188917, 0.0853559, 1.00182, 0.9
0.241201, 0.100358, 1.00196, 1
0.297118, 0.112432, 1.00208, 1.1
0.355251, 0.120405, 1.00218, 1.2
0.414139, 0.123326, 1.00226, 1.3
0.472332, 0.120518, 1.00233, 1.4
0.528428, 0.111618, 1.00239, 1.5
0.581112, 0.0965955, 1.00244, 1.6
0.629179, 0.0757557, 1.00248, 1.7
0.671559, 0.0497216, 1.00252, 1.8
0.707329, 0.0194039, 1.00254, 1.9
0.735718, -0.014044, 1.00257, 2
0.756115, -0.0492813, 1.00259, 2.1
0.768071, -0.0848436, 1.0026, 2.2
0.77129, -0.119211, 1.00262, 2.3
0.765629, -0.150878, 1.00263, 2.4
0.751087, -0.178424, 1.00263, 2.5
0.727801, -0.200577, 1.00264, 2.6
0.696029, -0.216272, 1.00265, 2.7
0.656146, -0.224698, 1.00265, 2.8
0.608629, -0.225338, 1.00266, 2.9
0.554047, -0.217994, 1.00266, 3
0.493047, -0.202794, 1.00266, 3.1
0.426348, -0.180194, 1.00266, 3.2
0.354723, -0.150959, 1.00267, 3.3
0.278994, -0.116132, 1.00267, 3.4
0.200017, -0.0769958, 1.00267, 3.5
0.118673, -0.0350201, 1.00267, 3.6
0.035859, 0.0081984, 1.00267, 3.7
-0.0475238, 0.0509996, 1.00267, 3.8
-0.130577, 0.0917277, 1.00267, 3.9
-0.212416, 0.128798, 1.00267, 4
-0.292178, 0.160763, 1.00267, 4.1
-0.369027, 0.186367, 1.00267, 4.2
-0.442167, 0.204605, 1.00267, 4.3
-0.510844, 0.214757, 1.00267, 4.4
-0.574358, 0.216421, 1.00267, 4.5
-0.632062, 0.209528, 1.00267, 4.6
-0.683375, 0.194352, 1.00267, 4.7
-0.727782, 0.17149, 1.00267, 4.8
-0.764841, 0.141846, 1.00267, 4.9
-0.794183, 0.106595, 1.00267, 5
-0.815522, 0.0671336, 1.00267, 5.1
-0.82865, 0.0250272, 1.00267, 5.2
-0.833443, -0.0180532, 1.00267, 5.3
-0.829861, -0.060397, 1.00267, 5.4
-0.817946, -0.100322, 1.00267, 5.5
-0.797826, -0.136242, 1.00267, 5.6
-0.769708, -0.16673, 1.00267, 5.7
